run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,revenue_per_employee
Prod223_3873,12634035,2024-05-31,html,,2024-05-31,12634035,Kc Cp Ltd,False,3.0,2023-05-31,2023-05-31,2760.0,64658.0,12109.0,295029.0,,,137076.0,139836.0,-141090.0,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,12634093,2024-05-31,html,,2024-05-31,12634093,KJC COMMERCIAL CONTRACTS LTD,False,1.0,2024-05-31,2024-05-31,12270.0,5049.0,79947.0,84996.0,,,16231.0,28501.0,,,,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12634093,2024-05-31,html,,2024-05-31,12634093,KJC COMMERCIAL CONTRACTS LTD,False,1.0,2023-05-31,2023-05-31,16360.0,3462.0,38027.0,41489.0,,,7370.0,23730.0,,,,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12639188,2024-06-30,html,,2024-06-30,12639188,NATH HEMSLEY ROOFING & MAINTENANCE LTD,False,1.0,2024-06-30,2024-06-30,31539.0,,,21727.0,,,2202.0,33741.0,18028.0,,,18028.0,,,,,,,,,,,,,,,,
Prod223_3873,12640827,2024-06-30,html,,2024-06-30,12640827,TRAFALGAR PREMIUM FUNDING LTD,True,3.0,2024-06-30,2024-06-30,,100.0,,,,,100.0,,,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,12640827,2024-06-30,html,,2024-06-30,12640827,TRAFALGAR PREMIUM FUNDING LTD,True,3.0,2023-06-30,2023-06-30,,100.0,,,,,100.0,,,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,12641073,2024-06-30,html,,2024-06-30,12641073,RM AERIAL LTD,True,0.0,2024-06-30,2024-06-30,0.0,,,4.0,0.0,,4.0,6.0,6.0,,,6.0,,,,,,,,,,,,,,,,
Prod223_3873,12641073,2024-06-30,html,,2024-06-30,12641073,RM AERIAL LTD,True,0.0,2023-06-30,2023-06-30,0.0,,,4.0,0.0,,4.0,6.0,6.0,,,6.0,,,,,,,,,,,,,,,,
Prod223_3873,12643245,2024-06-30,html,,2024-06-30,12643245,DB Bookkeepers Ltd,False,1.0,2024-06-30,2024-06-30,1837.0,8024.0,2649.0,10673.0,,,5221.0,7058.0,6588.0,,,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12643245,2024-06-30,html,,2024-06-30,12643245,DB Bookkeepers Ltd,False,1.0,2023-06-30,2023-06-30,2023.0,3954.0,4184.0,8138.0,,,2611.0,4634.0,4128.0,,,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12653067,2024-06-30,html,,2024-06-30,12653067,Datreks Limited,False,1.0,2024-06-30,2024-06-30,445.0,,,7353.0,,,816.0,1261.0,,,,1261.0,,,,,,,,,,,,,,,,
Prod223_3873,12653067,2024-06-30,html,,2024-06-30,12653067,Datreks Limited,False,1.0,2023-06-30,2023-06-30,593.0,,,21685.0,,,10150.0,10743.0,,,,10743.0,,,,,,,,,,,,,,,,
Prod223_3873,12653475,2024-06-30,html,,2024-06-30,12653475,TRUGION LIMITED,False,1.0,2024-06-30,2024-06-30,,,,8.0,,,4764.0,4764.0,4764.0,,,4764.0,,,,,,,,,,,,,,,,
Prod223_3873,12653475,2024-06-30,html,,2024-06-30,12653475,TRUGION LIMITED,False,1.0,2023-06-30,2023-06-30,,,,1240.0,,,3455.0,3455.0,3455.0,,,3455.0,,,,,,,,,,,,,,,,
Prod223_3873,12654666,2024-06-30,html,,2024-06-30,12654666,JUST IN SOLUTIONS LTD,True,0.0,2024-06-30,2024-06-30,0.0,,,23296.0,19335.0,,3961.0,3961.0,3961.0,,,3961.0,,,,,,,,,,,,,,,,
Prod223_3873,12654666,2024-06-30,html,,2024-06-30,12654666,JUST IN SOLUTIONS LTD,True,0.0,2023-06-30,2023-06-30,0.0,,,23406.0,19335.0,,4071.0,4071.0,4071.0,,,4071.0,,,,,,,,,,,,,,,,
