run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url
Prod223_3873,06054071,2024-09-30,html,,2024-09-30,06054071,Earl (Oxford) Limited,False,0.0,2022-10-01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,253766.0,,
Prod223_3873,06228667,2024-04-30,html,,2024-04-30,06228667,Liz Knights Travel Ltd,False,2.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,42580.0,,
Prod223_3873,06248612,2024-04-30,html,,2024-04-30,06248612,M WIDDOWSON LTD,False,2.0,2023-05-01,2024-04-30,,,,,,,,,,,,,19483.0,,,,,,,,,,,,19483.0,,
Prod223_3873,06248612,2024-04-30,html,,2024-04-30,06248612,M WIDDOWSON LTD,False,2.0,2022-05-01,2023-04-30,,,,,,,,,,,,,51476.0,,,,,,,,,,,,51476.0,,
Prod223_3873,06335025,2024-08-31,html,,2024-08-31,06335025,Elvin Technologies Limited,False,2.0,2023-09-01,2024-08-31,,,,,,,,,,,,,,,,,,,,,,,,,58871.0,,
Prod223_3873,06598369,2024-06-30,html,,2024-06-30,06598369,WORKPLATFORM LIMITED,False,26.0,2023-07-01,2024-06-30,,,,,,,,,,,,,,,13131911.0,,3028122.0,,1452644.0,,,,624393.0,160359.0,464034.0,,
Prod223_3873,06598369,2024-06-30,html,,2024-06-30,06598369,WORKPLATFORM LIMITED,False,26.0,2022-07-01,2023-06-30,,,,,,,,,,,,,,,17159166.0,,2988761.0,,1427235.0,,,,1776874.0,366510.0,1410364.0,,
Prod223_3873,06750019,2024-11-30,html,,2024-11-30,06750019,MONS STAR LIMITED,False,1.0,2023-12-01,2024-11-30,,,,,,,,,,,,,177748.0,0.0,,,,0.0,26496.0,0.0,1254.0,,,35999.0,113999.0,,
Prod223_3873,06750019,2024-11-30,html,,2024-11-30,06750019,MONS STAR LIMITED,False,1.0,2022-12-01,2023-11-30,,,,,,,,,,,,,189545.0,0.0,,,,0.0,25496.0,0.0,1840.0,,,36452.0,125757.0,,
Prod223_3873,06760533,2024-06-30,html,,2024-06-30,06760533,Avtel (UK) Limited,False,31.0,2023-07-01,2024-06-30,,,,,,,,,,,,,11716887.0,,8951392.0,2765495.0,1739304.0,,2706388.0,,,632341.0,,,458116.0,,
Prod223_3873,06760533,2024-06-30,html,,2024-06-30,06760533,Avtel (UK) Limited,False,31.0,2022-07-01,2023-06-30,,,,,,,,,,,,,6865461.0,,4932026.0,1933435.0,1533514.0,,2511445.0,,,204687.0,,,179008.0,,
Prod223_3873,06799634,2024-07-31,html,,2024-07-31,06799634,KRONE UK LTD,False,39.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,17008780.0,,4160806.0,,2192752.0,,,,294643.0,70318.0,224325.0,,
Prod223_3873,06799634,2024-07-31,html,,2024-07-31,06799634,KRONE UK LTD,False,39.0,2022-08-01,2023-07-31,,,,,,,,,,,,,,,27423674.0,,3852650.0,,2052704.0,,,,412589.0,91095.0,321494.0,,
Prod223_3873,06935687,2024-06-30,html,,2024-06-30,06935687,CHAMPION WINES LTD,False,2.0,2023-07-01,2024-06-30,,,,,,,,,,,,,203570.0,0.0,,,,136417.0,32955.0,0.0,29777.0,,,840.0,3581.0,,
Prod223_3873,06935687,2024-06-30,html,,2024-06-30,06935687,CHAMPION WINES LTD,False,2.0,2022-07-01,2023-06-30,,,,,,,,,,,,,226954.0,392.0,,,,160439.0,31581.0,0.0,29993.0,,,1013.0,4320.0,,
Prod223_3873,07010067,2024-11-30,html,,2024-11-30,07010067,JZP Solutions Ltd,False,1.0,2023-10-01,2024-11-30,,,,,,,,,,,,,3992.0,,,,,,,,,,,,2154.0,,
Prod223_3873,07012143,2024-04-30,html,,2024-04-30,07012143,VKG CONSULTING LTD,False,0.0,2023-05-01,2024-04-30,,,,,,,,,,,,,3600.0,,,,,,,,3199.0,,,52.0,349.0,,
Prod223_3873,07012143,2024-04-30,html,,2024-04-30,07012143,VKG CONSULTING LTD,False,0.0,2022-05-01,2023-04-30,,,,,,,,,,,,,12896.0,,,,,,,,12191.0,,,104.0,601.0,,
Prod223_3873,07188210,2024-03-31,html,,2024-03-31,07188210,Simon Thomas (UK) Limited,False,1.0,2023-04-01,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,119312.0,,
Prod223_3873,07427650,2024-03-31,html,,2024-03-31,07427650,LANTALLIC CONSTRUCTION LIMITED,False,2.0,2023-04-01,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,66178.0,,
Prod223_3873,07446373,2024-04-30,html,,2024-04-30,07446373,MFA BUILDING SERVICES LIMITED,False,2.0,2023-05-01,2024-04-30,,,,,,,,,,,,,111482.0,0.0,,,,39603.0,25140.0,1401.0,8939.0,,,7854.0,28545.0,,
Prod223_3873,07446373,2024-04-30,html,,2024-04-30,07446373,MFA BUILDING SERVICES LIMITED,False,2.0,2022-05-01,2023-04-30,,,,,,,,,,,,,110335.0,0.0,,,,30051.0,24311.0,1839.0,11980.0,,,8359.0,33795.0,,
Prod223_3873,07520024,2024-04-30,html,,2024-04-30,07520024,Burden Bespoke Joinery Ltd,False,5.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,23426.0,,
Prod223_3873,07580103,2024-03-31,html,,2024-03-31,07580103,FIRST CHOICE CONSULTANTS LTD,False,0.0,2023-04-01,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,12075.0,,
Prod223_3873,07580103,2024-03-31,html,,2024-03-31,07580103,FIRST CHOICE CONSULTANTS LTD,False,0.0,2022-04-01,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,8154.0,,
Prod223_3873,07599998,2024-04-30,html,,2024-04-30,07599998,Delta Green Environmental Design Limited,False,14.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,209175.0,,
Prod223_3873,07624210,2024-05-31,html,,2024-05-31,07624210,CELIA BYATT EVENT CONSULTANCY LIMITED,False,1.0,2022-06-01,2023-05-31,,,,,,,,,,,,,52236.0,,,,,,9053.0,56.0,26838.0,,,6211.0,10078.0,,
Prod223_3873,07711081,2024-07-31,html,,2024-07-31,07711081,Accounting 4 Solutions Limited,False,1.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,27185.0,,
Prod223_3873,07722540,2024-03-31,html,,2024-03-31,07722540,ABG Legal Services Limited,False,1.0,2023-04-01,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,73485.0,,
Prod223_3873,07743789,2024-08-31,html,,2024-08-31,07743789,A.J. (UK) Ltd,False,2.0,2023-09-01,2024-08-31,,,,,,,,,,,,,335236.0,,77792.0,257444.0,233363.0,,,,,24081.0,14776.0,,14776.0,,
Prod223_3873,07768868,2024-09-30,html,,2024-09-30,07768868,ROBERT MILNE ASSOCIATES LTD,False,1.0,2023-10-01,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,,
Prod223_3873,07882336,2024-12-31,html,,2024-12-31,07882336,Comptons Brow Management Company Ltd,False,3.0,2024-01-01,2024-12-31,,,,,,,,,,,,,1950.0,,,,,,,,,,,,3.0,,
Prod223_3873,08043396,2024-04-30,html,,2024-04-30,08043396,CREATIVE CAPTURE LTD,False,1.0,2023-05-01,2024-04-30,,,,,,,,,,,,,160159.0,,,,,45553.0,13239.0,21825.0,38937.0,,,10893.0,29712.0,,
Prod223_3873,08043396,2024-04-30,html,,2024-04-30,08043396,CREATIVE CAPTURE LTD,False,1.0,2022-05-01,2023-04-30,,,,,,,,,,,,,224884.0,,,,,22772.0,47134.0,9865.0,35895.0,,,19613.0,89605.0,,
Prod223_3873,08073206,2024-07-31,html,,2024-07-31,08073206,VERTEC LIMITED,False,60.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,10729523.0,,4102152.0,,3215828.0,,,,,199436.0,516143.0,,
Prod223_3873,08073206,2024-07-31,html,,2024-07-31,08073206,VERTEC LIMITED,False,60.0,2022-08-01,2023-07-31,,,,,,,,,,,,,,,17795978.0,,4423928.0,,3143322.0,,,,,144175.0,514231.0,,
Prod223_3873,08170845,2024-08-31,html,,2024-08-31,08170845,CLASS DELTA LTD,False,150.0,2023-09-01,2024-08-31,,,,,,,,,,,,,,,20117410.0,,21797982.0,,5713188.0,,,,8856010.0,2187805.0,6668205.0,,
Prod223_3873,08170845,2024-08-31,html,,2024-08-31,08170845,CLASS DELTA LTD,False,150.0,2022-09-01,2023-08-31,,,,,,,,,,,,,,,18878427.0,,17415654.0,,4748156.0,,,,6485392.0,1323381.0,5162011.0,,
Prod223_3873,08180478,2024-08-31,html,,2024-08-31,08180478,Danex Projects Limited,False,1.0,2023-09-01,2024-08-31,,,,,,,,,,,,,,,,,,,,,,,,,33997.0,,
Prod223_3873,08498371,2024-04-30,html,,2024-04-30,08498371,Philip Jarvis Estate Agent Limited,False,12.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,67968.0,,
Prod223_3873,08627126,2024-07-31,html,,2024-07-31,08627126,JPK BUILDING CONTRACTORS LIMITED,False,11.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,7173.0,,
Prod223_3873,08630093,2024-07-31,html,,2024-07-31,08630093,MARIA CONSULTING LTD,False,2.0,2023-08-01,2024-07-31,,,,,,,,,,,,,76560.0,,,,,,28800.0,,6498.0,,,8312.0,32950.0,,
Prod223_3873,08630093,2024-07-31,html,,2024-07-31,08630093,MARIA CONSULTING LTD,False,2.0,2022-08-01,2023-07-31,,,,,,,,,,,,,65114.0,,,,,,27602.0,,7852.0,,,5662.0,23998.0,,
Prod223_3873,08779456,2024-11-17,html,,2024-11-17,08779456,CSS STORAGE LTD,False,0.0,2023-11-18,2024-11-17,,,,,,,,,,,,,2873.0,,,,,,,,,,,497.0,2376.0,,
Prod223_3873,08779456,2024-11-17,html,,2024-11-17,08779456,CSS STORAGE LTD,False,0.0,2022-11-18,2023-11-17,,,,,,,,,,,,,10956.0,,,,,,,,,,,1017.0,9939.0,,
Prod223_3873,08845735,2024-04-30,html,,2024-04-30,08845735,TEWKESBURY PARK LIMITED,False,113.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,752359.0,,4178076.0,,2344448.0,,,,109580.0,39225.0,70355.0,,
Prod223_3873,08975495,2024-04-30,html,,2024-04-30,08975495,ALENG GENERAL CONSULTANTS & SERVICES LTD,False,0.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,2621.0,,
Prod223_3873,08975495,2024-04-30,html,,2024-04-30,08975495,ALENG GENERAL CONSULTANTS & SERVICES LTD,False,0.0,2022-05-01,2023-04-30,,,,,,,,,,,,,,,,,,,,,,,,,8426.0,,
Prod223_3873,09012926,2024-04-30,html,,2024-04-30,09012926,CLOUDREV LTD,False,0.0,2022-05-01,2023-04-30,,,,,,,,,,,,,,,,,,,,,,,,,534.0,,
