shareholder_funds,net_assets_liabilities_including_pension_asset_liability,Cluster
100.0,667156.0,0
2870.0,2870.0,0
3565.0,3565.0,0
66009.0,66009.0,0
74009.0,74009.0,0
211269.0,211269.0,0
204749.0,204749.0,0
1.0,1883927.0,0
1.0,1487541.0,0
537973.0,537973.0,0
502194.0,502194.0,0
0.0,0.0,0
0.0,0.0,0
10400.0,147179.0,0
10400.0,132107.0,0
100.0,100.0,0
100.0,487.0,0
6.0,1182217.0,0
6.0,1185461.0,0
100.0,1867.0,0
100.0,2275.0,0
4906.0,4906.0,0
4786.0,4786.0,0
4.0,258494.0,0
4.0,198235.0,0
8.0,8.0,0
8.0,8.0,0
100.0,-45932.0,0
100.0,-41796.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,52954.0,0
2.0,56193.0,0
100.0,3718194.0,0
100.0,3537511.0,0
-3314.0,-3314.0,0
1205.0,1205.0,0
1000.0,7871561.0,0
1000.0,8878587.0,0
17.0,2123.0,0
17.0,2384.0,0
-39826.0,-39826.0,0
-40425.0,-40425.0,0
467688.0,467688.0,0
461735.0,461735.0,0
100.0,-42.0,0
100.0,804.0,0
1000.0,2084076.0,0
1000.0,2048938.0,0
11458.0,11458.0,0
13937.0,13937.0,0
7000.0,77928.0,0
7000.0,47784.0,0
5.0,5.0,0
5.0,5.0,0
82418.0,82418.0,0
80220.0,80220.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
0.0,0.0,0
0.0,0.0,0
3150000.0,3858803.0,0
737122.0,3887122.0,0
3.0,570666.0,0
3.0,458509.0,0
1989353.0,1989353.0,0
2227072.0,2227072.0,0
2000.0,2000.0,0
2000.0,2000.0,0
18302.0,18302.0,0
39607.0,39607.0,0
100.0,3739734.0,0
100.0,3451100.0,0
1000.0,1000.0,0
1000.0,1000.0,0
15624.0,15624.0,0
17600.0,17600.0,0
7023.0,7023.0,0
9766.0,9766.0,0
9673.0,9673.0,0
12847.0,12847.0,0
100.0,42501.0,0
100.0,47711.0,0
519544.0,519544.0,0
508248.0,508248.0,0
77553.0,77553.0,0
82921.0,82921.0,0
1000.0,1000.0,0
1000.0,1000.0,0
2.0,1720098.0,0
2.0,1547362.0,0
100.0,542695.0,0
100.0,650550.0,0
100.0,-153777.0,0
100.0,-133143.0,0
87910.0,87910.0,0
76700.0,76700.0,0
1259.0,1259.0,0
1954.0,1954.0,0
100.0,-274884.0,0
100.0,-254652.0,0
-12635.0,-12635.0,0
-12570.0,-12570.0,0
11572.0,11572.0,0
11139.0,11139.0,0
4.0,4.0,0
4.0,4.0,0
2.0,2.0,0
2.0,2.0,0
240929.0,240929.0,0
277186.0,277186.0,0
120.0,425993.0,0
120.0,405015.0,0
5275.0,5275.0,0
5275.0,5275.0,0
0.0,0.0,0
0.0,0.0,0
35430.0,35430.0,0
48340.0,48340.0,0
-90413.0,-90413.0,0
-92202.0,-92202.0,0
340.0,431927.0,0
340.0,322340.0,0
1200.0,237281.0,0
1200.0,236849.0,0
8.0,8.0,0
8.0,8.0,0
100.0,147208.0,0
100.0,161202.0,0
1000.0,95537.0,0
1000.0,229521.0,0
277438.0,277438.0,0
297240.0,297240.0,0
6.0,6.0,0
6.0,6.0,0
120000.0,5608926.0,0
120000.0,5440959.0,0
100.0,75557.0,0
100.0,207766.0,0
1490.0,1490.0,0
1490.0,1490.0,0
200.0,2512308.0,0
200.0,3042616.0,0
4.0,311435.0,0
4.0,351489.0,0
15016.0,15016.0,0
16098.0,16098.0,0
16250.0,34331.0,0
16250.0,21201.0,0
1.0,43218.0,0
2.0,199.0,0
2.0,171.0,0
